index,skill_id,name,folder,category,risk_profile
1,newborn_feeding_tracker,新生儿喂养记录 Agent,skills/01_newborn_feeding_tracker,婴幼儿照护与健康记录,health_adjacent
2,baby_routine_builder,宝宝作息规律培养 Agent,skills/02_baby_routine_builder,婴幼儿照护与健康记录,health_adjacent
3,baby_sleep_coach,宝宝睡眠陪跑 Agent,skills/03_baby_sleep_coach,婴幼儿照护与健康记录,health_adjacent
4,solid_food_planner,辅食添加规划 Agent,skills/04_solid_food_planner,婴幼儿照护与健康记录,health_adjacent
5,baby_allergy_food_log,宝宝过敏食材记录 Agent,skills/05_baby_allergy_food_log,婴幼儿照护与健康记录,health_adjacent
6,development_milestone_tracker,月龄发育里程碑 Agent,skills/06_development_milestone_tracker,婴幼儿照护与健康记录,health_adjacent
7,vaccination_reminder,疫苗接种提醒 Agent,skills/07_vaccination_reminder,婴幼儿照护与健康记录,health_adjacent
8,well_child_checkup_manager,宝宝体检记录管理 Agent,skills/08_well_child_checkup_manager,婴幼儿照护与健康记录,health_adjacent
9,baby_crying_troubleshooter,宝宝哭闹原因排查 Agent,skills/09_baby_crying_troubleshooter,婴幼儿照护与健康记录,health_adjacent
10,diaper_formula_inventory,尿布奶粉库存 Agent,skills/10_diaper_formula_inventory,婴幼儿照护与健康记录,general_parenting
11,picture_book_reading,绘本共读 Agent,skills/11_picture_book_reading,启蒙教育、行为习惯与安全,general_parenting
12,bedtime_story_generator,睡前故事生成 Agent,skills/12_bedtime_story_generator,启蒙教育、行为习惯与安全,general_parenting
13,preschool_chinese_literacy,幼儿识字启蒙 Agent,skills/13_preschool_chinese_literacy,启蒙教育、行为习惯与安全,general_parenting
14,pinyin_phonics_starter,拼音启蒙 Agent,skills/14_pinyin_phonics_starter,启蒙教育、行为习惯与安全,general_parenting
15,preschool_english_starter,幼儿英语启蒙 Agent,skills/15_preschool_english_starter,启蒙教育、行为习惯与安全,general_parenting
16,preschool_math_sense,幼儿数学启蒙 Agent,skills/16_preschool_math_sense,启蒙教育、行为习惯与安全,general_parenting
17,focus_training,专注力训练 Agent,skills/17_focus_training,启蒙教育、行为习惯与安全,general_parenting
18,toddler_emotion_labeling,幼儿情绪识别 Agent,skills/18_toddler_emotion_labeling,启蒙教育、行为习惯与安全,family_relationship
19,habit_builder,幼儿习惯养成 Agent,skills/19_habit_builder,启蒙教育、行为习惯与安全,general_parenting
20,child_safety_education,儿童安全教育 Agent,skills/20_child_safety_education,启蒙教育、行为习惯与安全,general_parenting
21,primary_homework_companion,小学作业陪伴 Agent,skills/21_primary_homework_companion,小学学习陪伴,general_parenting
22,primary_mistake_notebook,小学错题本 Agent,skills/22_primary_mistake_notebook,小学学习陪伴,education
23,primary_math_word_problem,小学数学应用题 Agent,skills/23_primary_math_word_problem,小学学习陪伴,education
24,mental_arithmetic_trainer,小学口算训练 Agent,skills/24_mental_arithmetic_trainer,小学学习陪伴,education
25,picture_writing_coach,小学看图写话 Agent,skills/25_picture_writing_coach,小学学习陪伴,education
26,primary_composition_coach,小学作文陪练 Agent,skills/26_primary_composition_coach,小学学习陪伴,education
27,primary_chinese_reading_comprehension,小学语文阅读理解 Agent,skills/27_primary_chinese_reading_comprehension,小学学习陪伴,education
28,classical_poem_recitation_checker,古诗背诵检查 Agent,skills/28_classical_poem_recitation_checker,小学学习陪伴,education
29,primary_english_vocabulary,小学英语单词 Agent,skills/29_primary_english_vocabulary,小学学习陪伴,education
30,student_reading_plan,小学生阅读计划 Agent,skills/30_student_reading_plan,小学学习陪伴,education
31,parent_tutoring_phrases,家长辅导话术 Agent,skills/31_parent_tutoring_phrases,家长沟通与升学规划,family_relationship
32,parent_child_conflict_review,亲子冲突复盘 Agent,skills/32_parent_child_conflict_review,家长沟通与升学规划,family_relationship
33,screen_time_management,手机使用管理 Agent,skills/33_screen_time_management,家长沟通与升学规划,family_relationship
34,middle_school_exam_goal_breakdown,中考目标拆解 Agent,skills/34_middle_school_exam_goal_breakdown,家长沟通与升学规划,education
35,adolescent_parent_communication,青春期亲子沟通 Agent,skills/35_adolescent_parent_communication,家长沟通与升学规划,family_relationship
36,family_schedule_manager,家庭日程管理 Agent,skills/36_family_schedule_manager,家庭运营与成长档案,general_parenting
